# PyMovie Version 3.2.9
# source: J:\OCCULTATION-DATA\2020-07-29\Jabbah\2020-07-29-1718_2 (2).ser
#
# lunar background: False
# yellow mask = default: False
#
# aperture name: Jabbah
# ____ aperture size: 51
# ____ x,y: (317, 354)
# ____ threshold: 10
# ____ def mask radius: 3.2
# ____ color: red
# ____ joggable: False
# ____ auto textOut: False
# ____ thumbnail source: False
# ____ csv output order: 4
#
# aperture name: ref
# ____ aperture size: 51
# ____ x,y: (529, 65)
# ____ threshold: 8
# ____ def mask radius: 3.2
# ____ color: yellow
# ____ joggable: True
# ____ auto textOut: True
# ____ thumbnail source: True
# ____ csv output order: 5
#
# date at frame 0: 2020-7-29
# Begin SER meta-data =====================
# FileID: LUCAM-RECORDER
# LuID: 4660
# ColorID: 0
# LittleEndian: 0
# ImageWidth: 640
# ImageHeight: 640
# PixelDepthPerPlane: 8
# FrameCount: 13105
# NumTimestamps: 13105.0
# Observer: Observer                                
# Instrument: QHY174M                                 
# Telescope: telescope                               
# DateTimeLocal: 2020-7-30T00:17:22.0719081
# DateTimeUTC: 2020-7-29T17:17:22.0719081
# End SER meta-data =====================
FrameNum,timeInfo,signal-Jabbah,signal-ref,appsum-Jabbah,avgbkg-Jabbah,stdbkg-Jabbah,nmaskpx-Jabbah,maxpx-Jabbah,xcentroid-Jabbah,ycentroid-Jabbah,appsum-ref,avgbkg-ref,stdbkg-ref,nmaskpx-ref,maxpx-ref,xcentroid-ref,ycentroid-ref
4525.00,[17:17:59.7641765],3069.00,214.00,4703.00,32.68,4.55,50,255,314.12,355.00,825.00,16.51,3.24,-37,49,529.00,67.00
4526.00,[17:17:59.7722329],2234.00,220.00,3712.00,32.85,4.68,45,255,314.00,355.00,819.00,16.20,3.25,-37,51,529.00,67.00
4527.00,[17:17:59.7802893],2175.00,180.00,3659.00,32.99,4.67,45,255,314.00,355.42,792.00,16.54,3.12,-37,43,529.00,67.00
4528.00,[17:17:59.7883457],3095.00,179.00,5076.00,33.01,4.67,60,255,314.30,356.17,787.00,16.43,3.20,-37,59,529.00,67.00
4529.00,[17:17:59.7964020],3152.00,210.00,4995.00,32.91,4.71,56,255,314.88,355.34,375.00,16.52,3.21,10,85,529.20,67.00
4530.00,[17:17:59.8044584],3060.00,205.00,4996.00,32.82,4.65,59,255,314.76,354.85,385.00,16.41,3.26,11,79,529.64,67.09
4531.00,[17:17:59.8125148],2762.00,192.00,4672.00,32.93,4.71,58,255,315.26,354.86,372.00,16.34,3.22,11,51,529.64,67.09
4532.00,[17:17:59.8205712],2023.00,171.00,3665.00,32.85,4.73,50,255,315.66,354.56,320.00,16.57,3.17,9,50,529.67,66.89
4533.00,[17:17:59.8286275],1856.00,192.00,3333.00,32.81,4.85,45,255,315.31,355.31,373.00,16.45,3.22,11,48,529.82,66.82
4534.00,[17:17:59.8366839],2314.00,248.00,3928.00,32.93,4.48,49,255,315.43,355.04,493.00,16.35,3.25,15,62,530.13,66.53
4535.00,[17:17:59.8447403],2392.00,207.00,4067.00,32.85,4.73,51,255,315.14,355.10,420.00,16.37,3.22,13,53,529.62,66.38
4536.00,[17:17:59.8527967],2446.00,210.00,3998.00,33.03,4.63,47,255,314.57,355.60,821.00,16.52,3.23,-37,50,530.00,66.00
4537.00,[17:17:59.8608531],3080.00,233.00,4856.00,32.89,4.59,54,255,314.89,355.41,462.00,16.33,3.17,14,85,529.29,66.50
4538.00,[17:17:59.8689094],2982.00,281.00,4675.00,32.56,4.55,52,255,314.50,355.50,511.00,16.41,3.15,14,91,529.29,66.50
4539.00,[17:17:59.8769658],2648.00,300.00,4290.00,32.84,4.60,50,255,314.50,355.64,546.00,16.37,3.14,15,79,529.13,66.53
4540.00,[17:17:59.8850222],2375.00,178.00,3813.00,32.69,4.54,44,255,314.25,355.68,342.00,16.38,3.23,10,55,528.80,66.50
4541.00,[17:17:59.8930786],2105.00,192.00,3491.00,33.00,4.64,42,255,314.05,355.93,800.00,16.44,3.17,-37,63,529.00,66.00
4542.00,[17:17:59.9011349],1616.00,187.00,2758.00,32.62,4.63,35,255,314.66,356.06,349.00,16.20,3.25,10,81,528.80,67.00
4543.00,[17:17:59.9091913],1694.00,204.00,2903.00,32.68,4.49,37,255,314.24,355.81,816.00,16.53,3.16,-37,75,529.00,67.00
4544.00,[17:17:59.9172477],1643.00,259.00,2790.00,32.77,4.52,35,255,314.69,355.89,472.00,16.41,3.15,13,103,528.62,66.62
4545.00,[17:17:59.9253041],1593.00,181.00,2838.00,32.77,4.56,38,255,314.55,355.76,345.00,16.36,3.17,10,66,529.20,67.00
4546.00,[17:17:59.9333604],2646.00,173.00,4265.00,33.04,4.65,49,255,314.65,355.80,778.00,16.35,3.24,-37,34,529.00,67.00
4547.00,[17:17:59.9414168],2998.00,158.00,4835.00,32.80,4.58,56,255,315.16,355.30,323.00,16.46,3.18,10,39,529.30,66.30
4548.00,[17:17:59.9494732],2896.00,152.00,4607.00,32.90,4.55,52,255,315.40,355.29,760.00,16.44,3.18,-37,39,529.00,66.00
4549.00,[17:17:59.9575296],3009.00,114.00,4785.00,32.89,4.56,54,255,315.89,355.00,720.00,16.37,3.18,-37,48,529.00,66.00
4550.00,[17:17:59.9655859],3049.00,124.00,4791.00,32.86,4.69,53,255,315.72,355.04,729.00,16.36,3.20,-37,34,529.00,66.00
4551.00,[17:17:59.9736423],3618.00,119.00,5607.00,32.61,4.57,61,255,315.85,354.66,725.00,16.38,3.17,-37,35,529.00,66.00
4552.00,[17:17:59.9816987],2928.00,203.00,4722.00,32.63,4.79,55,255,315.80,354.64,808.00,16.34,3.15,-37,49,529.00,66.00
4553.00,[17:17:59.9897551],2450.00,160.00,3951.00,32.63,4.59,46,255,315.78,354.91,307.00,16.39,3.22,9,55,529.11,65.33
4554.00,[17:17:59.9978115],1986.00,165.00,3391.00,32.68,4.47,43,255,315.40,355.16,313.00,16.40,3.17,9,72,529.00,66.00
4555.00,[17:18:00.0059889],2409.00,184.00,3846.00,32.67,4.59,44,255,315.23,355.50,787.00,16.31,3.20,-37,55,529.00,66.00
4556.00,[17:18:00.0140453],2874.00,185.00,4550.00,32.86,4.65,51,255,314.63,355.55,380.00,16.27,3.26,12,59,528.50,66.50
