FrameNum,timeInfo,signal-ap11,appsum-ap11,avgbkg-ap11,stdbkg-ap11,nmaskpx-ap11,maxpx-ap11,xcentroid-ap11,ycentroid-ap11
1534.00,[17:48:26.2033134],-9569.00,1080208.00,29453.42,2196.63,-37,41504,187.00,128.00
1535.00,[17:48:26.2364148],-4343.00,1078144.00,29256.41,2012.49,-37,40448,187.00,128.00
1536.00,[17:48:26.2695161],-11309.00,1073792.00,29327.04,2112.96,-37,39696,187.00,128.00
1537.00,[17:48:26.3026175],-6744.00,1076064.00,29265.09,2088.32,-37,40480,187.00,128.00
1538.00,[17:48:26.3357189],-9518.00,1076576.00,29353.90,2150.24,-37,40736,187.00,128.00
1539.00,[17:48:26.3688203],-11300.00,1072976.00,29304.75,2183.44,-37,40944,187.00,128.00
1540.00,[17:48:26.4019217],-9901.00,1082400.00,29521.64,2263.64,-37,41520,187.00,128.00
1541.00,[17:48:26.4350231],-9169.00,1081568.00,29479.38,2287.83,-37,41808,187.00,128.00
1542.00,[17:48:26.4681245],-7759.00,1080944.00,29424.41,2114.85,-37,41888,187.00,128.00
1543.00,[17:48:26.5012259],-9983.00,1080688.00,29477.61,2319.57,-37,42032,187.00,128.00
1544.00,[17:48:26.5343273],-10831.00,1086336.00,29653.15,2390.29,-37,42000,187.00,128.00
1545.00,[17:48:26.5674288],-7796.00,1083680.00,29499.35,2308.91,-37,41440,187.00,128.00
1546.00,[17:48:26.6005302],-3835.00,1085872.00,29451.55,2145.59,-37,42784,187.00,128.00
1547.00,[17:48:26.6336316],-14282.00,1084064.00,29685.02,2440.99,-37,44256,187.00,128.00
1548.00,[17:48:26.6667330],-7317.00,1083008.00,29468.24,2107.24,-37,44160,187.00,128.00
1549.00,[17:48:26.6998345],-8762.00,1080624.00,29442.87,2172.31,-37,42736,187.00,128.00
1550.00,[17:48:26.7329359],-1922.00,1084336.00,29358.33,2007.15,-37,42064,187.00,128.00
1551.00,[17:48:26.7660374],-11263.00,1082176.00,29552.41,2192.28,-37,42096,187.00,128.00
