FrameNum,timeInfo,signal-target
3052.00,[12:57:01.9870],390619
3053.00,[12:57:02.0070],425945
3054.00,[12:57:02.0270],370032
3055.00,[12:57:02.0471],417128
3056.00,[12:57:02.0671],306026
3057.00,[12:57:02.0872],341937
3058.00,[12:57:02.1072],411983
3059.00,[12:57:02.1272],340583
3060.00,[12:57:02.1473],376891
3061.00,[12:57:02.1673],334065
3062.00,[12:57:02.1873],384973
3063.00,[12:57:02.2074],434147
3064.00,[12:57:02.2274],398539
3065.00,[12:57:02.2475],365972
3066.00,[12:57:02.2675],369295
3067.00,[12:57:02.2875],407704
3068.00,[12:57:02.3076],365498
3069.00,[12:57:02.3276],395856
3070.00,[12:57:02.3477],391902
3071.00,[12:57:02.3677],429446
3072.00,[12:57:02.3877],336495
3073.00,[12:57:02.4078],304544
3074.00,[12:57:02.4278],293365
3075.00,[12:57:02.4479],324970
3076.00,[12:57:02.4679],321575
3077.00,[12:57:02.4879],406082
3078.00,[12:57:02.5080],363781
3079.00,[12:57:02.5280],400089
3080.00,[12:57:02.5480],311165
3081.00,[12:57:02.5681],434107
3082.00,[12:57:02.5881],417974
3083.00,[12:57:02.6082],323848
3084.00,[12:57:02.6282],394522
3085.00,[12:57:02.6482],346581
3086.00,[12:57:02.6683],368685
3087.00,[12:57:02.6883],408084
3088.00,[12:57:02.7084],391242
3089.00,[12:57:02.7284],424873
3090.00,[12:57:02.7484],359172
3091.00,[12:57:02.7685],395915
3092.00,[12:57:02.7885],412800
3093.00,[12:57:02.8085],378184
3094.00,[12:57:02.8286],346582
3095.00,[12:57:02.8486],327477
3096.00,[12:57:02.8687],331732
3097.00,[12:57:02.8887],348926
3098.00,[12:57:02.9087],410603
3099.00,[12:57:02.9288],385404
3100.00,[12:57:02.9488],384792
3101.00,[12:57:02.9689],391027
3102.00,[12:57:02.9889],402737
3103.00,[12:57:03.0089],385842
3104.00,[12:57:03.0290],374638
3105.00,[12:57:03.0490],385795
3106.00,[12:57:03.0691],389471
3107.00,[12:57:03.0891],371985
3108.00,[12:57:03.1091],391503
3109.00,[12:57:03.1292],339286
3110.00,[12:57:03.1492],352351
3111.00,[12:57:03.1692],411195
3112.00,[12:57:03.1893],430162
3113.00,[12:57:03.2093],369131
3114.00,[12:57:03.2294],388722
3115.00,[12:57:03.2494],386894
3116.00,[12:57:03.2694],346809
3117.00,[12:57:03.2895],364109
3118.00,[12:57:03.3095],390473
3119.00,[12:57:03.3296],394811
3120.00,[12:57:03.3496],418328
3121.00,[12:57:03.3696],420024
3122.00,[12:57:03.3897],456744
3123.00,[12:57:03.4097],365530
3124.00,[12:57:03.4297],400268
3125.00,[12:57:03.4498],363317
3126.00,[12:57:03.4698],368797
3127.00,[12:57:03.4899],444570
3128.00,[12:57:03.5099],366503
3129.00,[12:57:03.5299],382481
3130.00,[12:57:03.5500],393546
3131.00,[12:57:03.5700],352935
3132.00,[12:57:03.5901],441081
3133.00,[12:57:03.6101],447807
3134.00,[12:57:03.6301],410406
3135.00,[12:57:03.6502],405214
3136.00,[12:57:03.6702],402602
3137.00,[12:57:03.6903],366767
3138.00,[12:57:03.7103],433170
3139.00,[12:57:03.7303],448753
3140.00,[12:57:03.7504],378701
