# PyMovie Version 3.6.3
# source: D:/#Okultasi/DATA PENGAMATAN/2022-08-08/Sao184652/00_45_01
#
# lunar background: False
# yellow mask = default: False
#
# aperture name: obj
# ____ aperture size: 51
# ____ x,y: (387, 221)
# ____ threshold: 1682
# ____ def mask radius: 3.2
# ____ color: yellow
# ____ joggable: True
# ____ auto textOut: True
# ____ thumbnail source: True
# ____ csv output order: 4
#
# date at frame 0: 2022-08-07
FrameNum,timeInfo,signal-obj,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj
2541.00,[17:45:27.0204550],68412.00,257920.00,8239.47,790.03,23,15872,373.09,211.39
2542.00,[17:45:27.0305547],94093.00,341120.00,8234.25,849.64,30,18816,373.17,212.47
2543.00,[17:45:27.0406544],114164.00,410208.00,8223.44,841.10,36,18304,373.19,213.67
2544.00,[17:45:27.0507541],82540.00,321984.00,8256.70,826.71,29,14880,373.45,213.21
2545.00,[17:45:27.0608537],51365.00,191184.00,8224.66,809.95,17,15552,373.41,210.88
2546.00,[17:45:27.0709534],64975.00,254576.00,8243.50,819.48,23,16000,373.52,214.74
2547.00,[17:45:27.0810531],92793.00,356064.00,8227.21,816.95,32,16192,373.78,214.53
2548.00,[17:45:27.0911527],110226.00,408624.00,8288.83,834.13,36,17664,374.08,213.75
2549.00,[17:45:27.1012524],138073.00,483584.00,8226.45,830.51,42,17472,374.24,213.48
2550.00,[17:45:27.1113521],70428.00,285120.00,8257.38,822.08,26,16480,374.27,214.54
2551.00,[17:45:27.1214517],55008.00,359056.00,8217.51,818.03,-37,12432,374.00,215.00
2552.00,[17:45:27.1315514],61853.00,242512.00,8211.80,808.78,22,16384,374.45,213.73
2553.00,[17:45:27.1416510],108012.00,355344.00,8244.42,803.92,30,18368,374.37,213.73
2554.00,[17:45:27.1517507],92534.00,323168.00,8236.94,827.60,28,17952,374.29,213.89
2555.00,[17:45:27.1618504],104626.00,425904.00,8237.90,851.68,39,13440,373.92,213.18
2556.00,[17:45:27.1719500],99562.00,354736.00,8231.43,825.50,31,14688,374.00,213.16
2557.00,[17:45:27.1820497],119294.00,432720.00,8248.06,852.82,38,14752,374.16,214.21
2558.00,[17:45:27.1921493],164355.00,526112.00,8221.74,833.21,44,17248,373.89,214.57
2559.00,[17:45:27.2022490],207299.00,661280.00,8254.20,830.75,55,22128,373.80,213.96
2560.00,[17:45:27.2123486],203562.00,583072.00,8250.22,825.62,46,26384,374.15,214.09
2561.00,[17:45:27.2224483],137676.00,451120.00,8248.51,859.38,38,17728,374.11,214.18
2562.00,[17:45:27.2325479],148460.00,453904.00,8255.24,822.33,37,19936,374.22,214.41
2563.00,[17:45:27.2426476],147371.00,460224.00,8232.98,849.50,38,18976,374.21,214.76
2564.00,[17:45:27.2527472],146907.00,443888.00,8249.47,831.59,36,19968,374.00,214.67
