FrameNum,timeInfo,signal-obj,signal-track,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj,appsum-track,avgbkg-track,stdbkg-track,nmaskpx-track,maxpx-track,xcentroid-track,ycentroid-track
8950.00,[14:05:00.8135313],-10013.00,41390.00,442528.00,12230.83,3269.32,-37,23120,383.00,425.00,435680.00,10656.50,912.98,-37,14496,205.00,152.00
8951.00,[14:05:00.8236310],-4865.00,32672.00,449136.00,12270.29,3258.93,-37,24272,383.00,425.00,424384.00,10586.81,899.53,-37,14560,205.00,152.00
8952.00,[14:05:00.8337307],-11737.00,37121.00,442624.00,12280.02,3286.02,-37,24944,383.00,425.00,429600.00,10607.53,915.76,-37,14752,205.00,152.00
8953.00,[14:05:00.8438305],-17013.00,35930.00,446032.00,12514.72,2665.87,-37,24816,382.00,424.00,152784.00,10623.05,857.85,11,17728,204.45,151.36
8954.00,[14:05:00.8539302],-24216.00,31717.00,442048.00,12601.72,2718.86,-37,23312,382.00,424.00,427696.00,10702.15,881.18,-37,16672,204.00,151.00
8955.00,[14:05:00.8640299],-20637.00,36268.00,443936.00,12556.04,2663.90,-37,22192,382.00,424.00,427024.00,10560.97,915.23,-37,15136,204.00,151.00
8956.00,[14:05:00.8741297],-9597.00,34192.00,458048.00,12639.05,2718.87,-37,23760,382.00,424.00,426752.00,10609.74,881.90,-37,15200,204.00,151.00
8957.00,[14:05:00.8842294],-7353.00,32944.00,443728.00,12191.37,3238.34,-37,24048,383.00,425.00,139456.00,10651.22,927.36,10,15808,205.40,151.90
8958.00,[14:05:00.8943291],2004.00,32824.00,446160.00,12004.23,3853.37,-37,23440,384.00,425.00,128032.00,10578.69,884.50,9,17728,206.00,152.00
8959.00,[14:05:00.9044289],12700.00,35437.00,452944.00,11898.49,3817.78,-37,24336,384.00,426.00,163088.00,10637.61,877.99,12,20160,205.67,152.50
8960.00,[14:05:00.9145286],3296.00,35724.00,445376.00,11948.12,3786.00,-37,24048,384.00,425.00,152256.00,10593.84,938.40,11,18944,206.09,152.36
8961.00,[14:05:00.9246283],5836.00,39276.00,446448.00,11908.43,3812.03,-37,24176,384.00,425.00,429840.00,10555.78,864.47,-37,15680,206.00,152.00
8962.00,[14:05:00.9347281],16043.00,34151.00,458240.00,11951.27,3820.55,-37,23568,384.00,425.00,426224.00,10596.55,902.93,-37,16544,206.00,152.00
8963.00,[14:05:00.9448278],6523.00,37682.00,446336.00,11886.85,3783.07,-37,23024,384.00,425.00,430032.00,10604.05,930.49,-37,15456,206.00,152.00
8964.00,[14:05:00.9549276],8427.00,33083.00,448432.00,11892.03,3787.60,-37,23088,384.00,425.00,425760.00,10612.90,893.49,-37,14624,206.00,152.00
8965.00,[14:05:00.9650273],11314.00,40664.00,451872.00,11906.98,3814.73,-37,22672,384.00,425.00,431280.00,10557.18,900.47,-37,16320,206.00,152.00
8966.00,[14:05:00.9751270],-2261.00,36041.00,438336.00,11908.03,3818.77,-37,24144,384.00,425.00,430112.00,10650.56,921.15,-37,14880,206.00,152.00
8967.00,[14:05:00.9852268],10855.00,37792.00,452384.00,11933.20,3812.13,-37,23312,384.00,425.00,430576.00,10615.79,880.17,-37,15936,206.00,152.00
8968.00,[14:05:00.9953265],7990.00,32677.00,450240.00,11952.70,3830.18,-37,23952,384.00,425.00,427328.00,10666.25,890.41,-37,15232,206.00,152.00
8969.00,[14:05:01.0054277],6578.00,40720.00,447024.00,11903.95,3830.22,-37,23472,384.00,425.00,433232.00,10608.43,870.84,-37,15008,206.00,152.00
8970.00,[14:05:01.0155274],5745.00,42415.00,446224.00,11904.83,3796.25,-37,24272,384.00,425.00,435680.00,10628.77,899.60,-37,16480,206.00,152.00
8971.00,[14:05:01.0256272],2152.00,36279.00,441760.00,11881.31,3780.78,-37,24400,384.00,425.00,430560.00,10656.25,910.37,-37,14080,206.00,152.00
8972.00,[14:05:01.0357269],6579.00,38908.00,447344.00,11912.57,3830.83,-37,23792,384.00,425.00,432080.00,10626.28,931.46,-37,16032,206.00,152.00
8973.00,[14:05:01.0458267],-12141.00,36732.00,440448.00,12232.12,3283.23,-37,23472,383.00,425.00,143040.00,10630.84,911.94,10,17280,205.10,152.20
8974.00,[14:05:01.0559265],5737.00,39145.00,457312.00,12204.72,3186.45,-37,23952,383.00,425.00,429072.00,10538.58,911.75,-37,15072,205.00,152.00
8975.00,[14:05:01.0660262],-8734.00,37777.00,444208.00,12241.68,3247.08,-37,23184,383.00,425.00,430128.00,10604.08,878.40,-37,16576,205.00,152.00
8976.00,[14:05:01.0761260],-228.00,35085.00,453472.00,12262.16,3260.07,-37,23056,383.00,425.00,427872.00,10615.87,905.47,-37,15072,205.00,152.00
8977.00,[14:05:01.0862257],3042.00,29395.00,456272.00,12249.46,3232.86,-37,24048,383.00,425.00,124944.00,10616.51,884.55,9,18784,205.00,152.00
8978.00,[14:05:01.0963255],-11453.00,33244.00,440704.00,12220.45,3288.17,-37,23888,383.00,425.00,427104.00,10644.87,913.58,-37,18080,205.00,152.00
8979.00,[14:05:01.1064253],-9979.00,33598.00,442512.00,12229.48,3269.50,-37,23120,383.00,425.00,427376.00,10642.64,904.70,-37,16832,205.00,152.00
8980.00,[14:05:01.1165250],-4393.00,35812.00,448992.00,12253.64,3251.99,-37,23728,383.00,425.00,426736.00,10565.51,872.03,-37,16192,205.00,152.00
8981.00,[14:05:01.1266248],-3856.00,43210.00,448624.00,12229.19,3246.16,-37,22992,383.00,425.00,436592.00,10631.95,900.57,-37,15616,205.00,152.00
8982.00,[14:05:01.1367246],121.00,33818.00,453696.00,12258.78,3250.49,-37,23920,383.00,425.00,427792.00,10647.94,841.61,-37,16608,205.00,152.00
8983.00,[14:05:01.1468243],-1258.00,32107.00,451568.00,12238.53,3240.43,-37,23120,383.00,425.00,425456.00,10631.04,907.03,-37,13504,205.00,152.00
8984.00,[14:05:01.1569241],3570.00,26683.00,458128.00,12285.35,3248.13,-37,25040,383.00,425.00,417200.00,10554.52,867.69,-37,14464,205.00,152.00
8985.00,[14:05:01.1670239],-32.00,41822.00,453680.00,12262.49,3235.42,-37,23280,383.00,425.00,433856.00,10595.52,880.42,-37,15648,205.00,152.00
8986.00,[14:05:01.1771237],-3553.00,28166.00,451232.00,12291.48,3305.47,-37,23696,383.00,425.00,123712.00,10616.21,921.31,9,17472,205.00,152.00
8987.00,[14:05:01.1872234],-7476.00,53735.00,444912.00,12226.70,3240.82,-37,24048,383.00,425.00,446944.00,10627.27,890.07,-37,16384,205.00,152.00
8988.00,[14:05:01.1973232],-4829.00,32376.00,447968.00,12237.77,3229.69,-37,23088,383.00,425.00,127872.00,10610.67,883.22,9,18720,205.00,152.00
8989.00,[14:05:01.2074230],-8985.00,40025.00,446416.00,12308.13,3256.62,-37,24112,383.00,425.00,433616.00,10637.58,930.17,-37,18720,205.00,152.00
8990.00,[14:05:01.2175228],-3626.00,43471.00,446608.00,12168.47,3229.63,-37,24144,383.00,425.00,437456.00,10648.25,884.23,-37,19040,205.00,152.00
8991.00,[14:05:01.2276226],-13823.00,29888.00,438896.00,12235.65,3261.34,-37,25488,383.00,425.00,424096.00,10654.27,908.10,-37,15008,205.00,152.00
8992.00,[14:05:01.2377223],-1632.00,34442.00,452832.00,12282.81,3237.61,-37,22992,383.00,425.00,426224.00,10588.70,921.46,-37,15424,205.00,152.00
8993.00,[14:05:01.2478221],-7166.00,29611.00,446192.00,12252.92,3260.89,-37,23920,383.00,425.00,422944.00,10630.63,888.79,-37,13408,205.00,152.00
8994.00,[14:05:01.2579219],-4797.00,35554.00,450208.00,12297.44,3285.71,-37,23920,383.00,425.00,427584.00,10595.42,930.73,-37,16704,205.00,152.00
