FrameNum,timeInfo,signal-stack,appsum-stack,avgbkg-stack,stdbkg-stack,nmaskpx-stack,maxpx-stack,xcentroid-stack,ycentroid-stack
4685.00,[17:09:47.6121106],54418.00,2703888.00,8357.95,787.58,-317,11696,493.00,331.00
4686.00,[17:09:47.6222102],26776.00,2685760.00,8387.96,782.82,-317,13120,493.00,331.00
4687.00,[17:09:47.6323099],54438.00,2713472.00,8388.12,794.11,-317,14048,493.00,331.00
4688.00,[17:09:47.6424095],31240.00,2685648.00,8373.53,793.34,-317,11984,493.00,331.00
4689.00,[17:09:47.6525091],40440.00,2705744.00,8407.90,789.43,-317,11664,493.00,331.00
4690.00,[17:09:47.6626087],48150.00,2702608.00,8373.68,805.53,-317,11600,493.00,331.00
4691.00,[17:09:47.6727083],37043.00,2706032.00,8419.52,794.15,-317,11696,493.00,331.00
4692.00,[17:09:47.6828080],53936.00,2721904.00,8416.30,792.74,-317,11568,493.00,331.00
4693.00,[17:09:47.6929076],35584.00,2693392.00,8384.25,783.44,-317,12208,493.00,331.00
4694.00,[17:09:47.7030072],16707.00,2673552.00,8381.21,791.63,-317,11632,493.00,331.00
4695.00,[17:09:47.7131069],31089.00,2686736.00,8377.44,803.16,-317,11760,493.00,331.00
4696.00,[17:09:47.7232065],43249.00,2691600.00,8354.42,791.54,-317,11952,493.00,331.00
4697.00,[17:09:47.7333061],18699.00,2675696.00,8381.69,814.92,-317,11568,493.00,331.00
4698.00,[17:09:47.7434058],31912.00,2694864.00,8400.48,787.95,-317,11216,493.00,331.00
4699.00,[17:09:47.7535054],29771.00,2694288.00,8405.42,793.30,-317,12208,493.00,331.00
4700.00,[17:09:47.7636050],28841.00,2677936.00,8356.77,814.39,-317,11856,493.00,331.00
4701.00,[17:09:47.7737047],29290.00,2686288.00,8381.70,790.79,-317,11888,493.00,331.00
4702.00,[17:09:47.7838043],42268.00,2698304.00,8378.66,792.10,-317,12768,493.00,331.00
4703.00,[17:09:47.7939039],66943.00,2712272.00,8344.89,792.69,-317,11856,493.00,331.00
4704.00,[17:09:47.8040036],63266.00,2725360.00,8397.77,801.90,-317,11280,493.00,331.00
4705.00,[17:09:47.8141032],43009.00,2707456.00,8405.20,765.88,-317,12704,493.00,331.00
4706.00,[17:09:47.8242029],43388.00,2686864.00,8339.04,797.10,-317,12240,493.00,331.00
4707.00,[17:09:47.8343025],53729.00,2714352.00,8393.13,794.85,-317,12304,493.00,331.00
4708.00,[17:09:47.8444022],68125.00,2723360.00,8376.14,796.49,-317,12992,493.00,331.00
4709.00,[17:09:47.8545018],31716.00,123728.00,8364.72,784.48,11,13664,491.82,331.91
4710.00,[17:09:47.8646015],71064.00,2726128.00,8375.60,782.56,-317,12208,492.00,332.00
4711.00,[17:09:47.8747011],49545.00,2708016.00,8386.34,805.82,-317,11376,492.00,332.00
4712.00,[17:09:47.8848008],52627.00,2702608.00,8359.56,781.49,-317,11344,492.00,332.00
4713.00,[17:09:47.8949004],37053.00,2687024.00,8359.53,781.88,-317,11952,492.00,332.00
4714.00,[17:09:47.9050001],48639.00,2701888.00,8369.87,790.47,-317,13152,492.00,332.00
4715.00,[17:09:47.9150998],43911.00,2693200.00,8357.38,790.98,-317,12176,492.00,332.00
4716.00,[17:09:47.9251994],33404.00,2683408.00,8359.63,785.24,-317,11664,492.00,332.00
4717.00,[17:09:47.9352991],8901.00,2659376.00,8361.12,783.95,-317,11792,492.00,332.00
4718.00,[17:09:47.9453987],37013.00,2701712.00,8405.99,776.37,-317,11632,492.00,332.00
4719.00,[17:09:47.9554984],32264.00,2678592.00,8348.04,778.45,-317,12768,492.00,332.00
4720.00,[17:09:47.9655981],44211.00,2708240.00,8403.88,783.59,-317,11472,492.00,332.00
4721.00,[17:09:47.9756977],63844.00,2715568.00,8365.06,780.78,-317,12368,492.00,332.00
4722.00,[17:09:47.9857974],23298.00,98688.00,8376.68,787.89,9,13344,492.00,331.00
4723.00,[17:09:47.9958971],59564.00,2715248.00,8377.55,798.85,-317,12240,492.00,331.00
4724.00,[17:09:48.0059944],25497.00,2678800.00,8370.04,789.92,-317,11504,492.00,331.00
4725.00,[17:09:48.0160941],46609.00,2696464.00,8359.16,791.82,-317,12048,492.00,331.00
4726.00,[17:09:48.0261938],43106.00,2702672.00,8389.80,773.49,-317,12496,492.00,331.00
4727.00,[17:09:48.0362935],35026.00,2699792.00,8406.20,773.34,-317,11056,492.00,331.00
4728.00,[17:09:48.0463931],38192.00,2689872.00,8364.92,780.20,-317,12432,492.00,331.00
4729.00,[17:09:48.0564928],40117.00,2694704.00,8374.09,803.71,-317,11984,492.00,331.00
4730.00,[17:09:48.0665924],38116.00,2689360.00,8363.54,810.36,-317,12176,492.00,331.00
4731.00,[17:09:48.0766921],38301.00,147312.00,8385.46,792.73,13,14560,491.00,332.31
4732.00,[17:09:48.0867918],26823.00,2683344.00,8380.19,779.62,-317,12576,491.00,332.00
4733.00,[17:09:48.0968914],57860.00,2722864.00,8406.95,776.61,-317,12176,491.00,332.00
4734.00,[17:09:48.1069911],43133.00,2701216.00,8385.12,794.24,-317,14464,491.00,332.00
4735.00,[17:09:48.1170908],27884.00,103040.00,8350.71,823.46,9,13568,491.89,331.67
4736.00,[17:09:48.1271904],81071.00,2730784.00,8358.72,793.17,-317,12608,492.00,332.00
4737.00,[17:09:48.1372901],37266.00,2687904.00,8361.63,779.48,-317,13088,492.00,332.00
4738.00,[17:09:48.1473897],39731.00,156816.00,8363.19,794.85,14,14432,492.71,330.00
4739.00,[17:09:48.1574894],48850.00,2694224.00,8345.03,800.33,-317,11920,493.00,330.00
4740.00,[17:09:48.1675890],38396.00,2698224.00,8390.63,790.68,-317,11888,493.00,330.00
4741.00,[17:09:48.1776887],53967.00,2712288.00,8385.87,795.60,-317,13344,493.00,330.00
4742.00,[17:09:48.1877883],25364.00,100864.00,8388.86,792.64,9,13472,492.11,331.67
4743.00,[17:09:48.1978880],44416.00,2699312.00,8375.07,795.58,-317,12400,492.00,332.00
4744.00,[17:09:48.2079876],38307.00,2697104.00,8387.37,769.20,-317,11856,492.00,332.00
4745.00,[17:09:48.2180873],6184.00,2664368.00,8385.44,793.03,-317,12208,492.00,332.00
4746.00,[17:09:48.2281869],40869.00,2687792.00,8349.91,799.96,-317,11120,492.00,332.00
4747.00,[17:09:48.2382865],45251.00,2694176.00,8356.23,778.78,-317,12928,492.00,332.00
4748.00,[17:09:48.2483862],40349.00,2686960.00,8348.93,784.03,-317,11472,492.00,332.00
4749.00,[17:09:48.2584858],27539.00,2688080.00,8392.87,799.60,-317,11824,492.00,332.00
4750.00,[17:09:48.2685854],25907.00,2676944.00,8362.89,801.66,-317,11952,492.00,332.00
4751.00,[17:09:48.2786851],63941.00,2726320.00,8398.67,804.61,-317,11536,492.00,332.00
4752.00,[17:09:48.2887847],24445.00,108016.00,8357.06,809.30,10,15264,492.10,328.90
4753.00,[17:09:48.2988843],66075.00,2716384.00,8360.60,770.05,-317,13376,492.00,329.00
4754.00,[17:09:48.3089840],24016.00,2680592.00,8380.36,781.65,-317,11344,492.00,329.00
4755.00,[17:09:48.3190836],42551.00,2696432.00,8371.86,802.75,-317,11376,492.00,329.00
4756.00,[17:09:48.3291832],51017.00,2706192.00,8375.95,806.38,-317,11696,492.00,329.00
4757.00,[17:09:48.3392829],65300.00,2719232.00,8372.02,793.93,-317,12544,492.00,329.00
4758.00,[17:09:48.3493825],75326.00,2728384.00,8369.27,792.72,-317,14720,492.00,329.00
4759.00,[17:09:48.3594821],61063.00,2710256.00,8357.07,775.02,-317,11536,492.00,329.00
4760.00,[17:09:48.3695817],56221.00,2714064.00,8384.36,795.13,-317,11568,492.00,329.00
4761.00,[17:09:48.3796813],50059.00,2708224.00,8385.38,788.53,-317,13184,492.00,329.00
4762.00,[17:09:48.3897810],47751.00,2693584.00,8346.48,782.91,-317,12176,492.00,329.00
4763.00,[17:09:48.3998806],41351.00,2696048.00,8374.44,801.82,-317,12112,492.00,329.00
4764.00,[17:09:48.4099802],62424.00,2723648.00,8395.03,781.45,-317,12672,492.00,329.00
4765.00,[17:09:48.4200798],40086.00,2701520.00,8395.69,798.14,-317,12112,492.00,329.00
4766.00,[17:09:48.4301794],43035.00,2697856.00,8374.83,795.41,-317,13152,492.00,329.00
4767.00,[17:09:48.4402790],52034.00,2715232.00,8401.26,793.24,-317,12576,492.00,329.00
4768.00,[17:09:48.4503786],36718.00,2692272.00,8377.14,782.95,-317,11664,492.00,329.00
4769.00,[17:09:48.4604783],52084.00,2697168.00,8344.11,808.71,-317,12368,492.00,329.00
4770.00,[17:09:48.4705779],19190.00,2671152.00,8365.81,795.77,-317,11248,492.00,329.00
4771.00,[17:09:48.4806775],42743.00,2703632.00,8393.97,799.64,-317,11728,492.00,329.00
4772.00,[17:09:48.4907771],35700.00,2691184.00,8376.92,767.56,-317,11408,492.00,329.00
4773.00,[17:09:48.5008767],35785.00,2688624.00,8368.58,807.67,-317,11824,492.00,329.00
4774.00,[17:09:48.5109763],47769.00,2705776.00,8384.88,779.86,-317,11024,492.00,329.00
4775.00,[17:09:48.5210759],44708.00,2696880.00,8366.47,802.61,-317,11216,492.00,329.00
4776.00,[17:09:48.5311755],43692.00,2704144.00,8392.59,780.68,-317,11376,492.00,329.00
4777.00,[17:09:48.5412751],57897.00,2710752.00,8368.63,800.81,-317,14752,492.00,329.00
4778.00,[17:09:48.5513747],48359.00,2705712.00,8382.82,779.43,-317,12208,492.00,329.00
4779.00,[17:09:48.5614743],37818.00,2689408.00,8364.64,792.55,-317,12768,492.00,329.00
4780.00,[17:09:48.5715739],58874.00,2722080.00,8401.28,791.06,-317,13184,492.00,329.00
4781.00,[17:09:48.5816734],62053.00,2717024.00,8375.30,790.28,-317,12736,492.00,329.00
4782.00,[17:09:48.5917730],28271.00,2681344.00,8369.32,797.37,-317,13152,492.00,329.00
4783.00,[17:09:48.6018726],44001.00,2700416.00,8379.86,786.89,-317,14272,492.00,329.00
4784.00,[17:09:48.6119722],38215.00,2689216.00,8362.78,767.31,-317,14432,492.00,329.00
4785.00,[17:09:48.6220718],41266.00,2694768.00,8370.67,809.71,-317,11152,492.00,329.00
