FrameNum,timeInfo,signal-track,signal-obj,appsum-track,avgbkg-track,stdbkg-track,nmaskpx-track,maxpx-track,xcentroid-track,ycentroid-track,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj
1508.00,[17:48:25.3426762],7692.00,-9921.00,570704.00,15216.54,355.57,-37,20400,221.00,273.00,1070128.00,29190.51,2107.28,-37,38864,187.00,128.00
1509.00,[17:48:25.3757776],8482.00,-7125.00,570512.00,15190.00,345.18,-37,19856,221.00,273.00,1071088.00,29140.88,2075.04,-37,38128,187.00,128.00
1510.00,[17:48:25.4088791],7319.00,-11545.00,569072.00,15182.52,324.08,-37,19136,221.00,273.00,1066000.00,29122.85,2112.94,-37,39056,187.00,128.00
1511.00,[17:48:25.4419805],7598.00,-8918.00,570496.00,15213.47,325.59,-37,19472,221.00,273.00,1072912.00,29238.64,2197.91,-37,39760,187.00,128.00
1512.00,[17:48:25.4750819],5472.00,-11674.00,568400.00,15214.27,324.95,-37,19184,221.00,273.00,1070592.00,29250.44,2181.73,-37,40096,187.00,128.00
1513.00,[17:48:25.5081833],5628.00,-3280.00,568832.00,15221.73,354.60,-37,17280,221.00,273.00,1080384.00,29288.21,2156.77,-37,40160,187.00,128.00
1514.00,[17:48:25.5412847],9755.00,-10868.00,572832.00,15218.31,348.82,-37,17536,221.00,273.00,1071072.00,29241.63,2179.84,-37,39408,187.00,128.00
1515.00,[17:48:25.5743861],4475.00,-8569.00,564576.00,15137.87,324.88,-37,17088,221.00,273.00,1071936.00,29202.85,2138.37,-37,39424,187.00,128.00
1516.00,[17:48:25.6074875],6657.00,-11291.00,569808.00,15220.30,289.40,-37,18896,221.00,273.00,1071984.00,29277.69,2171.51,-37,39840,187.00,128.00
1517.00,[17:48:25.6405889],7442.00,-7189.00,570320.00,15212.91,351.57,-37,17936,221.00,273.00,1068720.00,29078.62,2042.52,-37,40080,187.00,128.00
1518.00,[17:48:25.6736903],7903.00,-8626.00,570512.00,15205.65,341.02,-37,18368,221.00,273.00,1073424.00,29244.58,2120.08,-37,40544,187.00,128.00
1519.00,[17:48:25.7067917],4851.00,-7004.00,567952.00,15218.93,363.60,-37,17600,221.00,273.00,1075408.00,29254.37,2110.15,-37,39680,187.00,128.00
1520.00,[17:48:25.7398931],7583.00,-8008.00,570560.00,15215.60,329.65,-37,18208,221.00,273.00,1076288.00,29305.30,2146.35,-37,40416,187.00,128.00
1521.00,[17:48:25.7729945],6150.00,-3528.00,568096.00,15187.73,343.15,-37,18768,221.00,273.00,1077680.00,29221.84,1984.01,-37,40320,187.00,128.00
1522.00,[17:48:25.8060959],6369.00,-9981.00,567856.00,15175.33,338.96,-37,18064,221.00,273.00,1076496.00,29364.24,2265.83,-37,41232,187.00,128.00
1523.00,[17:48:25.8391972],6634.00,-6435.00,568576.00,15187.63,266.88,-37,18592,221.00,273.00,1082192.00,29422.36,2280.13,-37,40992,187.00,128.00
1524.00,[17:48:25.8722986],4744.00,-10347.00,566880.00,15192.87,308.98,-37,17808,221.00,273.00,1078672.00,29432.95,2221.76,-37,39872,187.00,128.00
1525.00,[17:48:25.9054000],4942.00,-4364.00,567616.00,15207.39,347.13,-37,18144,221.00,273.00,1078384.00,29263.45,2092.13,-37,39584,187.00,128.00
1526.00,[17:48:25.9385013],3874.00,-12438.00,565968.00,15191.73,366.29,-37,17056,221.00,273.00,1073056.00,29337.68,2314.34,-37,40128,187.00,128.00
1527.00,[17:48:25.9716027],9303.00,-8368.00,570544.00,15168.68,329.40,-37,17136,221.00,273.00,1074592.00,29269.20,2161.59,-37,40448,187.00,128.00
1528.00,[17:48:26.0047052],8158.00,-7369.00,569248.00,15164.58,317.77,-37,17536,221.00,273.00,1073488.00,29212.34,2067.57,-37,39120,187.00,128.00
1529.00,[17:48:26.0378066],6696.00,-13500.00,567424.00,15154.82,314.75,-37,18304,221.00,273.00,1070800.00,29305.41,2304.84,-37,39024,187.00,128.00
1530.00,[17:48:26.0709079],6737.00,-12299.00,567456.00,15154.55,323.98,-37,18976,221.00,273.00,1071472.00,29291.12,2179.34,-37,40272,187.00,128.00
1531.00,[17:48:26.1040093],12304.00,-12531.00,572336.00,15136.00,315.28,-37,18544,221.00,273.00,1070352.00,29267.12,2188.92,-37,39680,187.00,128.00
1532.00,[17:48:26.1371106],7789.00,-10855.00,569360.00,15177.60,329.74,-37,19120,221.00,273.00,1077216.00,29407.32,2150.12,-37,40400,187.00,128.00
1533.00,[17:48:26.1702120],9376.00,-6894.00,570448.00,15164.10,318.92,-37,19072,221.00,273.00,1081248.00,29409.23,2191.76,-37,40016,187.00,128.00
